linestring,code,distance,grammesCO2saved,route_name,from,to
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92869,54.59684],[-5.92867,54.59660],[-5.92864,54.59632],[-5.92860,54.59606],[-5.92852,54.59553],[-5.92990,54.59546],[-5.92985,54.59502],[-5.92974,54.59415],[-5.92959,54.59292],[-5.92985,54.59245],[-5.92994,54.59228],[-5.93003,54.59212],[-5.93009,54.59186],[-5.93014,54.59185],[-5.93034,54.59143],[-5.93058,54.59092],[-5.93068,54.59074],[-5.93113,54.58987],[-5.93113,54.58983],[-5.93112,54.58980],[-5.93172,54.58974],[-5.93164,54.58950],[-5.93157,54.58927],[-5.93156,54.58918],[-5.93160,54.58908],[-5.93163,54.58897],[-5.93162,54.58890],[-5.93330,54.58864],[-5.93316,54.58836],[-5.93297,54.58800],[-5.93383,54.58787],[-5.93356,54.58728],[-5.93361,54.58723],[-5.93400,54.58709],[-5.93443,54.58707],[-5.93569,54.58702],[-5.93580,54.58702],[-5.93590,54.58649],[-5.93592,54.58639],[-5.93595,54.58626],[-5.93597,54.58614],[-5.93601,54.58602],[-5.93606,54.58582],[-5.93616,54.58552],[-5.93627,54.58516],[-5.93639,54.58469],[-5.93646,54.58448],[-5.93653,54.58421],[-5.93664,54.58423],[-5.93682,54.58428]",39023933,1983,370,City Hall to Queens University / University Road,City Hall ,Queens University / University Road
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92869,54.59684],[-5.92867,54.59660],[-5.92864,54.59632],[-5.92860,54.59606],[-5.92852,54.59553],[-5.92990,54.59546],[-5.92985,54.59502],[-5.92974,54.59415],[-5.92959,54.59292],[-5.92985,54.59245],[-5.92994,54.59228],[-5.93003,54.59212],[-5.93009,54.59186],[-5.93014,54.59185],[-5.93034,54.59143],[-5.93058,54.59092],[-5.93068,54.59074],[-5.93113,54.58987],[-5.93113,54.58983],[-5.93112,54.58980],[-5.93172,54.58974],[-5.93164,54.58950],[-5.93157,54.58927],[-5.93156,54.58918],[-5.93160,54.58908],[-5.93163,54.58897],[-5.93162,54.58890],[-5.93330,54.58864],[-5.93316,54.58836],[-5.93297,54.58800],[-5.93278,54.58755],[-5.93256,54.58708],[-5.93242,54.58676],[-5.93237,54.58667],[-5.93226,54.58647],[-5.93223,54.58629],[-5.93223,54.58616],[-5.93238,54.58566],[-5.93243,54.58551],[-5.93251,54.58518],[-5.93257,54.58486],[-5.93259,54.58476],[-5.93262,54.58457],[-5.93264,54.58452],[-5.93265,54.58443],[-5.93266,54.58439],[-5.93268,54.58430],[-5.93269,54.58425],[-5.93271,54.58416],[-5.93271,54.58414],[-5.93274,54.58395]",39023934,1828,341,City Hall to Queens University / Botanic Gardens,City Hall ,Queens University / Botanic Gardens
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92920,54.59730],[-5.92902,54.59725],[-5.92892,54.59721],[-5.92872,54.59706],[-5.92871,54.59702],[-5.92869,54.59684],[-5.92867,54.59660],[-5.92864,54.59632],[-5.92860,54.59606],[-5.92852,54.59553],[-5.92990,54.59546],[-5.92985,54.59502],[-5.92974,54.59415],[-5.92959,54.59292],[-5.92985,54.59245],[-5.92994,54.59228],[-5.93003,54.59212],[-5.93009,54.59186],[-5.93014,54.59185],[-5.93034,54.59143],[-5.93058,54.59092],[-5.93068,54.59074],[-5.93113,54.58987],[-5.93113,54.58983],[-5.93112,54.58980],[-5.93172,54.58974],[-5.93164,54.58950],[-5.93157,54.58927],[-5.93156,54.58918],[-5.93160,54.58908],[-5.93163,54.58897],[-5.93162,54.58890],[-5.93330,54.58864],[-5.93316,54.58836],[-5.93297,54.58800],[-5.93383,54.58787],[-5.93356,54.58728],[-5.93361,54.58723],[-5.93400,54.58709],[-5.93443,54.58707],[-5.93569,54.58702],[-5.93580,54.58702],[-5.93590,54.58649],[-5.93603,54.58651],[-5.93643,54.58658],[-5.93741,54.58679],[-5.93748,54.58680],[-5.93840,54.58698],[-5.93857,54.58702],[-5.93869,54.58707],[-5.93878,54.58702],[-5.93888,54.58697],[-5.93911,54.58683],[-5.93954,54.58657],[-5.93972,54.58645]",39023935,1995,372,City Hall to Belfast City Hospital / Lisburn Road,City Hall ,Belfast City Hospital / Lisburn Road
"[-5.93083,54.59726],[-5.93107,54.59725],[-5.93142,54.59719],[-5.93152,54.59714],[-5.93157,54.59709],[-5.93161,54.59704],[-5.93158,54.59672],[-5.93155,54.59644],[-5.93171,54.59643],[-5.93202,54.59642],[-5.93319,54.59637],[-5.93318,54.59633],[-5.93313,54.59587],[-5.93359,54.59585],[-5.93461,54.59581],[-5.93585,54.59576],[-5.93620,54.59574],[-5.93755,54.59569],[-5.93780,54.59567],[-5.93801,54.59567],[-5.93933,54.59560],[-5.94004,54.59557],[-5.94013,54.59556],[-5.94041,54.59555],[-5.94192,54.59549],[-5.94204,54.59549],[-5.94211,54.59548],[-5.94272,54.59545],[-5.94297,54.59544],[-5.94321,54.59543],[-5.94353,54.59542],[-5.94408,54.59540],[-5.94539,54.59535],[-5.94584,54.59532],[-5.94834,54.59521],[-5.94856,54.59520],[-5.94923,54.59518],[-5.95027,54.59513],[-5.95039,54.59512],[-5.95095,54.59510],[-5.95107,54.59510],[-5.95116,54.59511],[-5.95128,54.59513],[-5.95131,54.59508],[-5.95150,54.59477],[-5.95173,54.59436],[-5.95184,54.59419],[-5.95196,54.59410],[-5.95210,54.59404],[-5.95232,54.59397],[-5.95225,54.59391],[-5.95153,54.59328],[-5.95139,54.59303],[-5.95137,54.59280],[-5.95149,54.59258],[-5.95159,54.59240],[-5.95166,54.59236],[-5.95231,54.59225],[-5.95278,54.59215],[-5.95339,54.59199],[-5.95422,54.59172],[-5.95455,54.59159],[-5.95639,54.59073],[-5.95677,54.59055],[-5.95705,54.59037],[-5.95717,54.59023],[-5.95730,54.59014],[-5.95752,54.59005],[-5.95775,54.59001],[-5.95777,54.58995],[-5.95783,54.58989],[-5.95793,54.58983],[-5.95806,54.58978],[-5.95824,54.58975],[-5.95830,54.58987],[-5.95832,54.58992]",39023936,2361,440,City Hall to Royal Victoria Hospital,City Hall ,Royal Victoria Hospital
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.93017,54.59739],[-5.93021,54.59745],[-5.93030,54.59820],[-5.93034,54.59853],[-5.93042,54.59907],[-5.93036,54.59918],[-5.93031,54.59928],[-5.93034,54.59937],[-5.93036,54.59944],[-5.93073,54.60014],[-5.93099,54.60067],[-5.93115,54.60103],[-5.93149,54.60192],[-5.93156,54.60211],[-5.93201,54.60220],[-5.93303,54.60246],[-5.93313,54.60249],[-5.93376,54.60265],[-5.93393,54.60270],[-5.93420,54.60277],[-5.93444,54.60284],[-5.93485,54.60295],[-5.93495,54.60296],[-5.93504,54.60298],[-5.93544,54.60306],[-5.93571,54.60310],[-5.93618,54.60315],[-5.93646,54.60317],[-5.93665,54.60318],[-5.93706,54.60321],[-5.93782,54.60328],[-5.93794,54.60329],[-5.93837,54.60332],[-5.93881,54.60335],[-5.93936,54.60340],[-5.93990,54.60344],[-5.94049,54.60348],[-5.94124,54.60354],[-5.94259,54.60364],[-5.94248,54.60415],[-5.94242,54.60437],[-5.94230,54.60479],[-5.94399,54.60493],[-5.94375,54.60574],[-5.94363,54.60624],[-5.94358,54.60623],[-5.94241,54.60614],[-5.94233,54.60613],[-5.94238,54.60628],[-5.94231,54.60662],[-5.94226,54.60683],[-5.94220,54.60700],[-5.94213,54.60710],[-5.94200,54.60719],[-5.94189,54.60729],[-5.94174,54.60754],[-5.94213,54.60760],[-5.94192,54.60803],[-5.94187,54.60831],[-5.94173,54.60858],[-5.94107,54.60847]",39023937,2157,402,City Hall to Mater Hospital / Crumlin Road,City Hall ,Mater Hospital / Crumlin Road
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.93017,54.59739],[-5.93021,54.59745],[-5.93030,54.59820],[-5.93034,54.59853],[-5.93042,54.59907],[-5.93036,54.59918],[-5.93031,54.59928],[-5.93034,54.59937],[-5.93036,54.59944],[-5.93073,54.60014],[-5.93099,54.60067],[-5.93115,54.60103],[-5.93149,54.60192],[-5.93156,54.60211],[-5.93201,54.60220],[-5.93303,54.60246],[-5.93313,54.60249],[-5.93376,54.60265],[-5.93393,54.60270],[-5.93420,54.60277],[-5.93444,54.60284],[-5.93485,54.60295],[-5.93495,54.60296],[-5.93504,54.60298],[-5.93544,54.60306],[-5.93571,54.60310],[-5.93618,54.60315],[-5.93646,54.60317],[-5.93665,54.60318],[-5.93706,54.60321],[-5.93782,54.60328],[-5.93794,54.60329],[-5.93837,54.60332],[-5.93881,54.60335],[-5.93936,54.60340],[-5.93990,54.60344],[-5.94049,54.60348],[-5.94124,54.60354],[-5.94259,54.60364],[-5.94263,54.60365],[-5.94292,54.60367],[-5.94437,54.60378]",39023938,1456,271,City Hall to Shankill Leisure Centre,City Hall ,Shankill Leisure Centre
"[-5.93083,54.59726],[-5.93107,54.59725],[-5.93142,54.59719],[-5.93152,54.59714],[-5.93157,54.59709],[-5.93161,54.59704],[-5.93158,54.59672],[-5.93155,54.59644],[-5.93171,54.59643],[-5.93202,54.59642],[-5.93319,54.59637],[-5.93318,54.59633],[-5.93313,54.59587],[-5.93359,54.59585],[-5.93461,54.59581],[-5.93585,54.59576],[-5.93620,54.59574],[-5.93755,54.59569],[-5.93780,54.59567],[-5.93801,54.59567],[-5.93933,54.59560],[-5.94004,54.59557],[-5.94013,54.59556],[-5.94041,54.59555],[-5.94192,54.59549],[-5.94204,54.59549],[-5.94211,54.59548],[-5.94272,54.59545],[-5.94297,54.59544],[-5.94321,54.59543],[-5.94353,54.59542],[-5.94408,54.59540],[-5.94539,54.59535],[-5.94584,54.59532],[-5.94834,54.59521],[-5.94856,54.59520],[-5.94923,54.59518],[-5.94923,54.59523],[-5.94923,54.59527],[-5.94922,54.59532],[-5.9492,54.59535]",39023940,1352,252,City Hall to Grosvenor Road / Servia Street,City Hall ,Grosvenor Road / Servia Street
"[-5.93083,54.59726],[-5.93107,54.59725],[-5.93142,54.59719],[-5.93152,54.59714],[-5.93157,54.59709],[-5.93161,54.59704],[-5.93158,54.59672],[-5.93155,54.59644],[-5.93171,54.59643],[-5.93202,54.59642],[-5.93319,54.59637],[-5.93318,54.59633],[-5.93313,54.59587],[-5.93359,54.59585],[-5.93461,54.59581],[-5.93585,54.59576],[-5.93620,54.59574],[-5.93755,54.59569],[-5.93780,54.59567],[-5.93801,54.59567],[-5.93933,54.59560],[-5.94004,54.59557],[-5.94013,54.59556],[-5.94041,54.59555],[-5.94192,54.59549],[-5.94204,54.59549],[-5.94211,54.59548],[-5.94272,54.59545],[-5.94297,54.59544],[-5.94321,54.59543],[-5.94353,54.59542],[-5.94408,54.59540],[-5.94539,54.59535],[-5.94536,54.59541],[-5.94526,54.59553],[-5.94517,54.59563],[-5.94482,54.59602],[-5.94477,54.59606],[-5.94463,54.59616],[-5.94452,54.59624],[-5.94433,54.59639],[-5.94384,54.59673],[-5.94338,54.59705],[-5.94323,54.59715],[-5.94303,54.59727],[-5.94308,54.59729],[-5.94313,54.59731],[-5.94323,54.59732],[-5.94346,54.59735],[-5.94359,54.59736],[-5.94410,54.59743],[-5.94441,54.59749],[-5.94458,54.59753],[-5.94473,54.59758],[-5.94488,54.59765],[-5.94504,54.59773],[-5.94514,54.59781],[-5.94520,54.59787],[-5.94526,54.59793],[-5.94532,54.59801],[-5.94559,54.59840],[-5.94579,54.59867],[-5.94587,54.59878],[-5.94603,54.59902],[-5.94616,54.59920],[-5.94636,54.59948],[-5.94642,54.59956],[-5.94651,54.59969],[-5.94667,54.59990],[-5.94681,54.59986],[-5.94687,54.59984],[-5.94701,54.59981],[-5.94691,54.59966],[-5.94758,54.59950]",39023941,1846,344,City Hall to Falls Road / Twin Spires,City Hall ,Falls Road / Twin Spires
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.93017,54.59739],[-5.93021,54.59745],[-5.93030,54.59820],[-5.93034,54.59853],[-5.93042,54.59907],[-5.93036,54.59918],[-5.93031,54.59928],[-5.93034,54.59937],[-5.93036,54.59944],[-5.93073,54.60014],[-5.93099,54.60067],[-5.93115,54.60103],[-5.93149,54.60192],[-5.93156,54.60211],[-5.93105,54.60265],[-5.93083,54.60285],[-5.93069,54.60297],[-5.93040,54.60319],[-5.93017,54.60336],[-5.93041,54.60360],[-5.93097,54.60416],[-5.93153,54.60470],[-5.93180,54.60495],[-5.93213,54.60522],[-5.93245,54.60542],[-5.93265,54.60552],[-5.93243,54.60572],[-5.93207,54.60605],[-5.93187,54.60621],[-5.93170,54.60638],[-5.93151,54.60659],[-5.93138,54.60673],[-5.93075,54.60736],[-5.92933,54.60879],[-5.92918,54.60894],[-5.92860,54.60949],[-5.92884,54.60960],[-5.92929,54.60983],[-5.93009,54.61027],[-5.93041,54.61043],[-5.93094,54.61070],[-5.93162,54.61098],[-5.93222,54.61122],[-5.93289,54.61057],[-5.93294,54.61051],[-5.93346,54.61005],[-5.93402,54.61025],[-5.93474,54.61049],[-5.93486,54.61050],[-5.93518,54.61050],[-5.93532,54.61050],[-5.93582,54.61050],[-5.93591,54.61050],[-5.93592,54.61063],[-5.93685,54.61063],[-5.93774,54.61063],[-5.93855,54.61064],[-5.93870,54.61064],[-5.93885,54.61066],[-5.93899,54.61069],[-5.93912,54.61073],[-5.94035,54.61115],[-5.94039,54.61116],[-5.94152,54.61155],[-5.94194,54.61169],[-5.94207,54.61175],[-5.94216,54.61181],[-5.94222,54.61186]",39023942,2655,495,City Hall to Girdwood Community Hub,City Hall ,Girdwood Community Hub
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.93017,54.59739],[-5.93021,54.59745],[-5.93030,54.59820],[-5.93034,54.59853],[-5.93042,54.59907],[-5.93036,54.59918],[-5.93031,54.59928],[-5.93034,54.59937],[-5.93036,54.59944],[-5.93073,54.60014],[-5.93099,54.60067],[-5.93115,54.60103],[-5.93149,54.60192],[-5.93156,54.60211],[-5.93105,54.60265],[-5.93083,54.60285],[-5.93069,54.60297],[-5.93040,54.60319],[-5.93017,54.60336],[-5.93041,54.60360],[-5.93097,54.60416],[-5.93153,54.60470],[-5.93180,54.60495],[-5.93213,54.60522],[-5.93245,54.60542],[-5.93265,54.60552],[-5.93243,54.60572],[-5.93207,54.60605],[-5.93187,54.60621],[-5.93170,54.60638],[-5.93151,54.60659],[-5.93138,54.60673],[-5.93075,54.60736],[-5.92933,54.60879],[-5.92918,54.60894],[-5.92860,54.60949],[-5.92884,54.60960],[-5.92929,54.60983],[-5.93009,54.61027],[-5.93041,54.61043],[-5.93094,54.61070],[-5.93162,54.61098],[-5.93222,54.61122],[-5.93380,54.61175],[-5.93422,54.61191],[-5.93463,54.61208],[-5.93538,54.61241],[-5.93569,54.61253],[-5.93584,54.61255],[-5.93595,54.61256],[-5.93593,54.61233],[-5.93688,54.61232],[-5.93706,54.61232],[-5.93705,54.61237],[-5.93703,54.61240],[-5.93695,54.61241],[-5.93677,54.61241]",39023943,2282,425,City Hall to Duncairn Centre / Antrim Road,City Hall ,Duncairn Centre / Antrim Road
"[-5.93083,54.59726],[-5.93045,54.59727],[-5.93014,54.59728],[-5.93003,54.59729],[-5.92938,54.59732],[-5.92894,54.59733],[-5.92872,54.59734],[-5.92887,54.59859],[-5.92926,54.59857],[-5.92907,54.59883],[-5.92859,54.59926],[-5.92852,54.59931],[-5.92878,54.59938],[-5.92849,54.59950],[-5.92804,54.59965],[-5.92774,54.59974],[-5.92753,54.59980],[-5.92737,54.59985],[-5.92717,54.59992],[-5.92666,54.60009],[-5.92613,54.60027],[-5.92594,54.60034],[-5.92577,54.60039],[-5.92562,54.60044],[-5.92494,54.60066],[-5.92460,54.60072],[-5.92442,54.60073],[-5.92425,54.60076],[-5.92333,54.60095],[-5.92224,54.60115],[-5.92213,54.60119],[-5.92210,54.60120],[-5.92173,54.60123],[-5.92096,54.60126],[-5.91982,54.60121],[-5.91922,54.60115],[-5.91904,54.60112],[-5.91895,54.60114],[-5.91861,54.60104],[-5.91830,54.60192],[-5.91812,54.60230],[-5.91794,54.60239],[-5.91783,54.60254],[-5.91751,54.60301],[-5.91744,54.60304],[-5.91734,54.60306],[-5.91717,54.60309],[-5.91664,54.60309],[-5.91648,54.60309],[-5.91630,54.60310],[-5.91522,54.60312],[-5.91462,54.60313],[-5.91380,54.60315],[-5.91312,54.60317],[-5.91307,54.60317],[-5.91265,54.60319],[-5.91246,54.60320],[-5.91198,54.60321],[-5.91179,54.60322],[-5.91048,54.60324],[-5.90971,54.60325],[-5.90816,54.60328],[-5.90613,54.60332],[-5.90577,54.60333],[-5.90487,54.60335],[-5.90365,54.60337],[-5.90184,54.60340],[-5.90053,54.60343],[-5.89943,54.60344],[-5.89916,54.60351],[-5.89903,54.60359],[-5.89894,54.60365],[-5.89888,54.60367],[-5.89863,54.60368],[-5.89844,54.60366],[-5.89830,54.60361],[-5.89823,54.60355],[-5.89815,54.60351],[-5.89791,54.60339],[-5.89776,54.60336],[-5.89744,54.60334],[-5.89692,54.60330],[-5.89654,54.60327],[-5.89643,54.60324],[-5.89635,54.60320],[-5.89629,54.60315],[-5.89604,54.60272],[-5.89593,54.60253],[-5.89590,54.60246],[-5.89588,54.60237],[-5.89592,54.60191],[-5.89593,54.60184],[-5.89595,54.60177],[-5.89601,54.60170],[-5.89608,54.60163],[-5.89617,54.60157],[-5.89629,54.60152],[-5.89642,54.60148],[-5.89635,54.60142],[-5.89625,54.60137],[-5.89612,54.60132],[-5.89493,54.60104],[-5.89437,54.60089],[-5.89395,54.60077],[-5.89373,54.60070],[-5.89338,54.60059],[-5.89286,54.60041],[-5.89237,54.60024],[-5.89200,54.60012],[-5.89145,54.59985],[-5.89089,54.59958],[-5.89031,54.59931],[-5.89013,54.59923],[-5.89006,54.59917],[-5.89003,54.59913],[-5.89003,54.59908],[-5.89005,54.59903],[-5.89011,54.59896],[-5.89029,54.59883],[-5.89035,54.59879],[-5.89042,54.59878],[-5.89053,54.59878],[-5.89080,54.59883],[-5.89090,54.59883],[-5.89098,54.59882],[-5.89104,54.59882],[-5.89115,54.59879],[-5.89125,54.59874],[-5.89132,54.59868],[-5.89138,54.59860],[-5.89150,54.59841],[-5.89172,54.59802],[-5.89118,54.59795],[-5.89101,54.59793],[-5.89091,54.59791],[-5.89069,54.59789],[-5.89047,54.59786],[-5.89026,54.59783],[-5.89016,54.59809],[-5.89008,54.59815],[-5.89047,54.59832]",39023944,3810,710,City Hall to CS Lewis Square,City Hall ,CS Lewis Square
"[-5.92403,54.59820],[-5.92407,54.59834],[-5.92412,54.59836],[-5.92423,54.59838],[-5.92446,54.59838],[-5.92452,54.59836],[-5.92462,54.59840],[-5.92455,54.59844],[-5.92446,54.59842],[-5.92421,54.59842],[-5.92416,54.59844],[-5.92411,54.59847],[-5.92413,54.59864],[-5.92419,54.59911],[-5.92421,54.59943],[-5.92420,54.59946],[-5.92415,54.59951],[-5.92453,54.59943],[-5.92491,54.59935],[-5.92511,54.59962],[-5.92561,54.60023],[-5.92577,54.60039],[-5.92594,54.60034],[-5.92613,54.60027],[-5.92666,54.60009],[-5.92717,54.59992],[-5.92737,54.59985],[-5.92753,54.59980],[-5.92770,54.59970],[-5.92783,54.59966],[-5.92821,54.59953],[-5.92847,54.59944],[-5.92878,54.59938],[-5.92923,54.59933],[-5.93009,54.59924],[-5.93036,54.59918],[-5.93042,54.59907],[-5.93034,54.59853],[-5.93030,54.59820],[-5.93021,54.59745],[-5.93017,54.59739],[-5.93003,54.59729],[-5.93014,54.59728],[-5.93045,54.59727],[-5.93083,54.59726]",39033902,985,184,Victoria Square / Victoria Street to City Hall,Victoria Square / Victoria Street ,City Hall
"[-5.92403,54.59820],[-5.92407,54.59834],[-5.92412,54.59836],[-5.92423,54.59838],[-5.92446,54.59838],[-5.92452,54.59836],[-5.92462,54.59840],[-5.92455,54.59844],[-5.92446,54.59842],[-5.92421,54.59842],[-5.92416,54.59844],[-5.92411,54.59847],[-5.92413,54.59864],[-5.92419,54.59911],[-5.92421,54.59943],[-5.92420,54.59946],[-5.92415,54.59951],[-5.92421,54.59962],[-5.92426,54.59976],[-5.92438,54.60011],[-5.92451,54.60050],[-5.92460,54.60072],[-5.92442,54.60073],[-5.92425,54.60076],[-5.92333,54.60095],[-5.92224,54.60115],[-5.92213,54.60119],[-5.92210,54.60120],[-5.92212,54.60145]",39033904,543,101,Victoria Square / Victoria Street to Donegall Quay,Victoria Square / Victoria Street ,Donegall Quay
"[-5.92403,54.59820],[-5.92407,54.59834],[-5.92412,54.59836],[-5.92423,54.59838],[-5.92446,54.59838],[-5.92452,54.59836],[-5.92462,54.59840],[-5.92455,54.59844],[-5.92446,54.59842],[-5.92421,54.59842],[-5.92416,54.59844],[-5.92411,54.59847],[-5.92413,54.59864],[-5.92419,54.59911],[-5.92421,54.59943],[-5.92420,54.59946],[-5.92415,54.59951],[-5.92421,54.59962],[-5.92426,54.59976],[-5.92438,54.60011],[-5.92451,54.60050],[-5.92460,54.60072],[-5.92442,54.60073],[-5.92425,54.60076],[-5.92333,54.60095],[-5.92224,54.60115],[-5.92213,54.60119],[-5.92210,54.60120],[-5.92210,54.60115],[-5.92206,54.60096],[-5.92205,54.60092],[-5.92198,54.60070],[-5.92184,54.60053],[-5.92185,54.60053],[-5.92177,54.60045],[-5.92166,54.60037],[-5.92147,54.60028],[-5.92147,54.60021],[-5.92145,54.60010],[-5.92142,54.59963],[-5.92143,54.59960],[-5.92143,54.59954],[-5.92146,54.59947],[-5.92146,54.59936],[-5.92139,54.59875],[-5.92138,54.59873],[-5.92106,54.59872],[-5.92095,54.59872],[-5.92070,54.59854],[-5.92024,54.59818],[-5.91995,54.59801],[-5.91908,54.59757],[-5.91893,54.59752],[-5.91813,54.59724],[-5.91795,54.59719],[-5.91752,54.59709],[-5.91699,54.59699],[-5.91702,54.59693],[-5.91712,54.59678],[-5.91722,54.59658],[-5.91726,54.59647],[-5.91729,54.59637],[-5.91728,54.59628],[-5.91727,54.59615],[-5.91725,54.59607],[-5.91722,54.59598],[-5.91717,54.59589],[-5.91709,54.59576],[-5.91692,54.59551],[-5.91688,54.59546],[-5.91683,54.59542],[-5.91678,54.59540],[-5.91673,54.59539],[-5.91671,54.59539],[-5.91663,54.59538],[-5.91645,54.59539]",39033905,1364,254,Victoria Square / Victoria Street to Central Station / Mays Meadow,Victoria Square / Victoria Street ,Central Station / Mays Meadow
"[-5.92403,54.59820],[-5.92407,54.59834],[-5.92412,54.59836],[-5.92423,54.59838],[-5.92446,54.59838],[-5.92452,54.59836],[-5.92462,54.59840],[-5.92455,54.59844],[-5.92446,54.59842],[-5.92421,54.59842],[-5.92416,54.59844],[-5.92411,54.59847],[-5.92413,54.59864],[-5.92419,54.59911],[-5.92421,54.59943],[-5.92420,54.59946],[-5.92415,54.59951],[-5.92453,54.59943],[-5.92491,54.59935],[-5.92424,54.59856],[-5.92398,54.59849],[-5.92397,54.59845],[-5.92394,54.59815],[-5.92388,54.59768],[-5.92392,54.59755],[-5.92377,54.59754],[-5.92300,54.59755],[-5.92288,54.59754],[-5.92275,54.59752],[-5.92263,54.59749],[-5.92162,54.59754],[-5.92147,54.59754],[-5.92147,54.59750],[-5.92127,54.59699],[-5.92122,54.59665],[-5.92120,54.59658],[-5.92116,54.59651],[-5.92111,54.59646],[-5.92105,54.59642],[-5.92096,54.59638],[-5.92084,54.59635],[-5.92104,54.59635],[-5.92131,54.59634],[-5.92134,54.59559],[-5.92136,54.59553],[-5.92141,54.59548],[-5.92149,54.59543],[-5.92154,54.59541],[-5.92160,54.59539],[-5.92254,54.59533],[-5.92316,54.59528],[-5.92345,54.59522],[-5.92350,54.59521],[-5.92359,54.59518]",39033906,1055,197,Victoria Square / Victoria Street to St George's Market / Cromac Square,Victoria Square / Victoria Street ,St George's Market / Cromac Square
"[-5.92403,54.59820],[-5.92407,54.59834],[-5.92412,54.59836],[-5.92423,54.59838],[-5.92446,54.59838],[-5.92452,54.59836],[-5.92462,54.59840],[-5.92455,54.59844],[-5.92446,54.59842],[-5.92421,54.59842],[-5.92416,54.59844],[-5.92411,54.59847],[-5.92413,54.59864],[-5.92419,54.59911],[-5.92421,54.59943],[-5.92420,54.59946],[-5.92415,54.59951],[-5.92453,54.59943],[-5.92491,54.59935],[-5.92553,54.59922],[-5.92558,54.59921],[-5.92594,54.59913],[-5.92633,54.59905],[-5.92671,54.59897],[-5.92708,54.59889],[-5.92736,54.59883],[-5.92748,54.59880],[-5.92755,54.59885],[-5.92763,54.59880],[-5.92776,54.59873],[-5.92779,54.59871],[-5.92785,54.59869],[-5.92792,54.59868],[-5.92791,54.59863],[-5.92791,54.59860],[-5.92790,54.59852],[-5.92783,54.59852],[-5.92776,54.59791],[-5.92773,54.59770],[-5.92769,54.59739],[-5.92772,54.59736],[-5.92768,54.59707],[-5.92758,54.59630],[-5.92755,54.59611],[-5.92752,54.59610],[-5.92755,54.59608],[-5.92744,54.59512],[-5.92732,54.59422],[-5.92729,54.59387],[-5.92720,54.59316],[-5.92711,54.59242],[-5.92707,54.59241],[-5.92666,54.59232],[-5.92660,54.59231],[-5.92620,54.59222],[-5.92602,54.59218],[-5.92592,54.59215],[-5.92579,54.59212],[-5.92562,54.59203],[-5.92556,54.59211]",39033907,1293,241,Victoria Square / Victoria Street to Gasworks (Cromac Street),Victoria Square / Victoria Street ,Gasworks (Cromac Street)
